"","lon","lat","cell","supermarket/shop(food)","place_of_worship","School/kindergarten","beauty_salon","bank/atm","mall/shop(non-food)","bus_stop","healthcare","restaurant/cafe","state institutions/NGO","cinema/theatre/museum","pub/bar","university","post_office","totalScore"
"73",44.3808284043799,40.203573339465,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"74",44.3914246538188,40.1744214366469,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9
"75",44.3668681190511,40.2022535863879,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"76",44.3911169148597,40.1938023110712,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,9
"77",44.3710381195728,40.1891687016235,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"78",44.3658236287929,40.17791221463,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"79",44.3681575508718,40.1812205036357,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"80",44.3856804321391,40.1986816680897,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"81",44.4296812513179,40.1768596187664,9,16,2.7,7.6,2.7,7.2,3,13.5,10.8,7.6,0,0,0,0,0,71.1
"82",44.4154657710517,40.1900830512668,9,18,4.5,9,0,0,0,12,0,5.4,0,0,0,0,0,48.9
"83",44.4285119269415,40.1749493575724,9,15.2,2.7,7.6,2.7,7.2,3,13.5,10.8,7.6,0,0,0,0,0,70.3
"84",44.4220705271058,40.1834834281832,9,10.8,4.5,9,4.5,4.5,5,15,7.125,5.4,0,0,0,0,0,65.825
"85",44.4122596976393,40.1776509784674,9,20,4.5,5.4,4.5,9.5,0,8.55,13.5,10,0,0,0,0,0,75.95
"86",44.4079374186182,40.1877559595939,9,0,0,5.7,0,9,0,8.55,13.5,9,0,0,0,0,0,45.75
"87",44.4311464554222,40.19277341804,9,10,4.5,7.2,4.5,5,5,11.4,7.125,9,0,0,0,0,0,63.725
"88",44.4017967208625,40.201054773957,9,0,0,4.5,0,0,0,13.5,0,9,0,0,0,0,0,27
"89",44.4212399186519,40.1809379013872,9,10.8,2.25,7.2,4.5,4.75,5,12,7.125,5.4,0,0,0,0,0,59.025
"90",44.4261223700281,40.1777787774789,9,14.4,2.7,7.2,2.25,6,2.5,11.4,8.1,5.7,0,0,0,0,0,60.25
"91",44.4432776057661,40.1777547531493,10,20,4.5,10,3.6,10,5,15,14.25,9.5,0,0,0,0,0,91.85
"92",44.4403661937219,40.18966217787,10,14.4,2.375,6,2.25,6,2.5,12,10.8,7.2,0,0,0,0,0,63.525
"93",44.4367331097076,40.1741030448535,10,19,3.6,10,3.6,9.5,4,15,13.5,9.5,0,0,0,0,0,87.7
"94",44.4417994468938,40.1861849313404,10,18,2.7,8,2.375,8,3,14.25,13.5,7.2,0,0,0,0,0,77.025
"95",44.4647558772971,40.1725689964473,10,16,3.6,10,3.6,8,3.8,11.4,13.5,7.2,0,4.5,0,0,0,81.6
"96",44.4344049455842,40.1799639334797,10,18,3.6,8,2.7,8,3,12,11.4,7.6,0,0,0,0,0,74.3
"97",44.4499789301387,40.1929746874107,10,14.4,2.25,7.2,4.75,6,2.85,11.4,9,6,0,0,0,4.5,0,68.35
"98",44.460210507767,40.1764697245904,10,19,4.5,9.5,3.6,10,4.5,14.25,13.5,9,0,4.5,0,4.5,0,96.85
"99",44.4617554570815,40.1831121477112,10,18,3.6,9,2.7,10,4.5,14.25,15,9,0,4.5,0,4.5,0,95.05
"100",44.4525975783914,40.1973898587119,10,11.4,4.5,6,4.75,6,3.6,9,8.1,6,0,0,0,4.5,0,63.85
"101",44.4754192243085,40.1981278261379,11,20,4.5,8,3.6,10,4.75,15,15,8,0,2.25,0,4.5,0,95.6
"102",44.4701197631249,40.1798028887459,11,14.4,2.7,7.2,2.85,8,3.6,11.4,12,7.2,0,2.25,0,4.75,0,76.35
"103",44.4946658717735,40.1698532133281,11,14.4,2.7,9,3,9,3.6,14.25,10.8,9,4.75,3,2.85,2.25,0,88.6
"104",44.4908828893839,40.2029454257118,11,20,2.7,9,5,10,5,15,15,10,0,2.85,5,4.5,0,104.05
"105",44.4853168385778,40.1723611342732,11,15.2,2.375,5.7,2.375,9,3.8,12,8.55,7.6,4.75,3.6,2.375,4.75,0,82.075
"106",44.4749180721083,40.195470818897,11,20,4.75,9,3.6,10,4.75,15,15,8,0,4.75,0,3.6,0,98.45
"107",44.4739972654578,40.1985502874385,11,20,4.5,9,3,10,4.75,15,15,8,0,2.25,0,4.5,0,96
"108",44.4888181511522,40.1698493187152,11,14.4,2.7,7.2,2.5,9,3,14.25,9,7.2,2.375,2.7,2.375,4.5,0,81.2
"109",44.4687839521374,40.1991401524387,11,16,4.75,9,2.85,8,4,12,13.5,9,0,4.5,0,3.6,0,87.2
"110",44.4754584193671,40.1885504042811,11,18,2.25,9,4.5,9,3.8,14.25,13.5,10,0,2.25,0,2.85,0,89.4
"111",44.5143170592945,40.2010261399904,12,20,2.5,10,4.75,8,4.5,12,13.5,8,0,3.6,3,3,0,92.85
"112",44.513827565516,40.2034407363308,12,20,2.25,10,4.75,10,5,14.25,15,10,0,3.6,2.5,3,0,100.35
"113",44.5248007039201,40.1961032963509,12,16,2.85,9.5,3.8,8,4,12,12,10,0,4,3,4,0,89.15
"114",44.5069026553828,40.1697193139779,12,16,3.8,8,4.5,10,4.75,14.25,13.5,10,0,4,3.6,3,0,95.4
"115",44.5133172385522,40.1875811391545,12,20,3.8,9.5,4.5,10,5,15,15,10,0,4.75,5,4,0,106.55
"116",44.5228358912293,40.197256618801,12,20,2.85,9.5,3.8,10,4.5,14.25,15,10,0,4,3,4,0,100.9
"117",44.5289998683507,40.176550944962,12,20,3,9.5,4.75,10,5,14.25,13.5,10,0,3.8,3.6,4,0,101.4
"118",44.5217376099619,40.1828098624374,12,20,4.5,10,5,10,5,15,15,10,0,5,4.5,5,0,109
"119",44.5265005556866,40.1882733972591,12,20,3.6,8,3,10,5,15,15,10,0,4,4,5,0,102.6
"120",44.5154222518147,40.195338857877,12,16,2.85,8,4,8,4,14.25,12,9.5,0,4,4,4,0,90.6
"121",44.5490946351107,40.1912196364347,13,14.4,3.6,8,2.85,7.2,3,10.8,10.8,9,0,4.5,4.5,3.6,2.375,84.625
"122",44.5488000333367,40.1986494053085,13,18,2.7,9,4.5,9,3.8,14.25,13.5,10,0,0,0,2.7,4.75,92.2
"123",44.5522590062883,40.1831879620452,13,15.2,2.7,8,2.85,7.2,2.85,12,9,5.7,0,0,4.5,3.6,2.85,76.45
"124",44.5470985472167,40.2026481145015,13,20,2.7,10,5,10,4.75,15,15,9,0,0,4.5,2.7,0,98.65
"125",44.559341155237,40.1825339223083,13,18,2.25,8,3.8,8,3.8,14.25,12,7.2,0,0,4.5,3.6,3.8,89.2
"126",44.5389539245713,40.1979863280628,13,20,2.85,9,4,10,4,14.25,13.5,9,0,2.375,5,3.8,0,97.775
"127",44.5586567175364,40.1695429292996,13,19,4.5,8,3.8,7.6,2.375,12,12,5.7,0,0,0,4.5,2.375,81.85
"128",44.5520247183914,40.1998709928977,13,19,2.375,9,4,8,3.8,14.25,12,10,0,0,0,2.7,4.75,89.875
"129",44.5389546657865,40.171878039774,13,18,2.5,9,2.85,9.5,3,14.25,9,9,0,2.375,2.25,2.85,0,84.575
"130",44.5721972709172,40.1978746487805,13,19,0,8,4.5,10,5,15,12,9,0,0,0,2.375,2.375,87.25
"131",44.592939506279,40.1878991144651,14,18,0,10,4.75,9,5,13.5,7.5,5.4,0,0,0,0,4.75,77.9
"132",44.5963241224072,40.1978418932086,14,10.8,4.5,6,2.85,5.4,5,8.1,15,7.2,0,0,0,4.5,0,69.35
"133",44.5974235203256,40.1871514263283,14,18,0,10,4.75,7.2,0,13.5,15,5.4,0,0,0,0,0,73.85
"134",44.5822316847508,40.1990031030564,14,12,4.5,7.2,3.6,7.2,3.6,9,9,9,0,0,0,2.25,4.75,72.1
"135",44.596000974538,40.1900867502123,14,18,0,9.5,4.75,9,4.75,13.5,7.5,7.2,0,0,0,4.5,0,78.7
"136",44.5828243782452,40.1881163351971,14,16,0,8,4,7.2,2.85,12,12,5,0,0,0,4.5,2.85,74.4
"137",44.5924146021157,40.1912364144704,14,18,0,8,4.75,9,5,13.5,7.5,7.2,0,0,0,4.5,4.75,82.2
"138",44.574342716349,40.1795090833318,14,20,4.5,8,4.75,9,3.6,14.25,13.5,7.6,0,0,0,2.25,3.8,91.25
"139",44.5845942945882,40.1891433698404,14,15.2,0,8,3.8,7.2,2.5,12,9,5.4,0,0,0,4.5,2.375,69.975
"140",44.5898467679507,40.204272499386,14,12,2.25,5.7,2.85,5,2.5,9,9,7.2,0,0,0,2.7,0,58.2
"141",44.394643888896,40.1484176652494,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"142",44.3893550117849,40.1676513712131,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"143",44.3919586449069,40.1389929996803,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"144",44.3947077953978,40.1475101980927,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"145",44.3834556547854,40.1657849961484,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"146",44.3753010674868,40.162406935346,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"147",44.3885731225285,40.1520149570377,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"148",44.3793981258722,40.1349232807569,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"149",44.362596378785,40.1430495596199,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"150",44.3859879856009,40.1449995852401,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"151",44.4205883413937,40.1442152597941,16,10.8,4.5,5.4,2.7,0,0,0,13.5,9,0,0,0,0,0,45.9
"152",44.4008641949656,40.1646646561648,16,18,0,0,0,0,0,13.5,0,0,0,0,0,0,0,31.5
"153",44.4312131657835,40.1628741953172,16,18,2.375,7.6,2.25,8,3.6,12,10.8,7.2,0,0,0,0,0,71.825
"154",44.4277808280265,40.140750549325,16,14.4,4.5,7.2,3.6,0,0,0,0,9,0,0,0,0,0,38.7
"155",44.4073981899907,40.1422429266746,16,18,0,9,4.5,0,0,0,0,0,0,0,0,0,0,31.5
"156",44.4126420533284,40.1575869043008,16,9,0,9.5,4.5,0,0,13.5,0,0,0,0,0,0,0,36.5
"157",44.4093612164701,40.1506727739155,16,19,0,9,4.5,0,0,0,0,0,0,0,0,0,0,32.5
"158",44.40961254913,40.1381274022383,16,18,0,9,4.5,0,0,0,0,0,0,0,0,0,0,31.5
"159",44.408074062633,40.1393876904167,16,18,0,9,4.5,0,0,0,0,0,0,0,0,0,0,31.5
"160",44.4294360588863,40.1453911016683,16,14.4,4.5,7.2,3.6,10,4.75,15,13.5,4.5,0,0,0,0,0,77.45
"161",44.4536801049427,40.1377241524495,17,12,2.7,5.7,2.25,7.2,4.5,0,9,5.7,0,0,0,0,0,49.05
"162",44.4655735341773,40.1384850213118,17,18,5,9,5,10,2.5,15,12,7.2,4.75,0,0,0,0,88.45
"163",44.4472185159346,40.141085253834,17,14.4,2.25,7.2,3.6,6,2.25,14.25,9,7.2,0,0,0,0,0,66.15
"164",44.4648551002493,40.163325740894,17,12,3.8,9,2.7,9,2.85,8.55,9,9,4.75,4.5,0,0,0,75.15
"165",44.4359154382813,40.1348259991011,17,14.4,2.7,7.2,3.6,9,4.5,0,0,9,0,0,0,0,0,50.4
"166",44.4627481135667,40.1477891817537,17,20,2.7,9.5,2.375,9.5,2.7,7.5,15,9,2.375,0,0,0,0,80.65
"167",44.4415450880676,40.1662924603431,17,20,3.6,8,3.6,10,4.5,15,15,9,0,0,0,0,0,88.7
"168",44.4423691339755,40.1348249982483,17,10.8,3.6,7.2,2.7,4.75,4.5,0,15,4.5,0,0,0,0,0,53.05
"169",44.4382330302707,40.1451277850475,17,18,4.75,9,4.5,4.75,2.25,7.125,15,5.4,0,0,0,0,0,70.775
"170",44.4334764819836,40.1492875941272,17,14.4,4.5,7.2,3.6,5,2.375,7.5,6.75,4.75,0,0,0,0,0,56.075
"171",44.4871025872975,40.1642875758104,18,16,2.375,7.6,3,7.2,3,11.4,9,6,2.85,2.7,4.75,4.5,0,80.375
"172",44.4996547913446,40.152272013541,18,20,4.5,9,4.5,10,5,15,15,9.5,2.85,4.75,4.5,0,0,104.6
"173",44.4855202846717,40.1430967471585,18,20,4.5,10,3.8,8,5,12,12,8,2.85,2.7,0,0,0,88.85
"174",44.4933293989428,40.1627362306392,18,16,2.25,8,3,8,3,11.4,9,6,2.85,3.6,4.75,4.5,0,82.35
"175",44.4890526149875,40.1366350895189,18,20,4.5,9,2.85,6,4.5,12,9,7.2,2.375,2.25,0,0,0,79.675
"176",44.4746292328368,40.1352067717595,18,16,2.375,6,2.375,8,3,7.5,8.1,7.2,4.75,4.5,0,0,0,69.8
"177",44.4852321164274,40.1551589709275,18,20,2.7,10,4.5,10,5,15,12,10,4.75,2.85,0,0,0,96.8
"178",44.4695651821745,40.163931281825,18,12,4.5,8,2.85,7.2,3,7.5,9,9,2.375,4.5,0,0,0,69.925
"179",44.4945355744764,40.1501239706494,18,20,4.5,10,5,10,5,15,15,9.5,3.8,4.5,0,0,0,102.3
"180",44.4745766402384,40.1518662058725,18,20,3.6,10,4.5,10,5,12,15,9,3.8,2.25,0,0,0,95.15
"181",44.5097660862584,40.1561524012894,19,20,2.375,10,4.5,10,4.75,14.25,13.5,10,4.75,3.6,4.5,4.75,0,106.975
"182",44.5274735166621,40.1639723108324,19,16,3.6,9,2.85,8,3.6,10.8,13.5,6,0,2.7,2.5,2.85,0,81.4
"183",44.5212013018724,40.1387004134,19,20,0,9,4.5,10,5,15,14.25,7.2,0,4.5,0,0,0,89.45
"184",44.5041478800028,40.1576788064441,19,20,2.375,8,3.8,9.5,5,15,12,9.5,2.375,4.5,4.75,4.75,0,101.55
"185",44.531223020812,40.1555676560662,19,16,2.7,9,2.375,9,2.7,12,12,9,0,4.5,0,4.75,0,84.025
"186",44.511265376287,40.1673883225093,19,19,3.8,9.5,3.8,10,5,15,15,10,0,3.8,3,2.85,0,100.75
"187",44.5206787126895,40.1546118550084,19,20,2.7,10,3.6,8,4,15,12,8,0,2.375,0,4.75,0,90.425
"188",44.5138727235118,40.1448996498552,19,20,4.5,9,3.8,10,4.75,13.5,13.5,6,0,2.375,0,0,0,87.425
"189",44.5062909094465,40.1670072698081,19,18,3,9,3.6,10,4.5,12,12,9.5,4.75,3.8,2.85,2.5,0,95.5
"190",44.5322386259818,40.1638425776793,19,14.4,3.6,9,2.7,7.6,2.7,9,10.8,7.6,0,2.25,5,2.85,0,77.5
"191",44.5522880674211,40.1512966564938,20,12,0,5.4,0,4.5,4.5,6.75,15,4.5,0,0,0,0,0,52.65
"192",44.5544262779841,40.1449732153792,20,14.4,0,5.4,0,9,4.5,6.75,13.5,9,0,0,0,0,0,62.55
"193",44.5643262053187,40.1559155841649,20,10,0,5,5,4.5,4.5,6.75,7.125,9.5,0,0,0,0,0,52.375
"194",44.5462576886394,40.1454638679802,20,20,0,7.2,4.75,5.4,2.25,8.1,6.75,4.5,0,0,0,0,0,58.95
"195",44.565849398655,40.157121788481,20,10,0,5,5,4.5,4.5,7.125,7.5,9.5,0,0,0,0,0,53.125
"196",44.5662013392837,40.1663446907233,20,16,0,8,3,7.2,2.25,12,12,5.4,0,0,0,4.5,2.375,72.725
"197",44.5520347964553,40.1542077660933,20,12,4.5,4.75,0,4.5,0,15,15,4.5,0,0,0,0,0,60.25
"198",44.5695011580863,40.1566161747044,20,10,0,5,5,4.5,4.5,7.125,7.5,9,0,0,0,0,0,52.625
