"","WKT","ID","NAME","NAME_EN","TYPE","point"
"2280","44.5195378157394 40.1827966812256",50998,"Artsakhbank","","bank/atm",10
"2281","44.520086686378 40.1826060944175",51000,"","","bus_stop",4
"2282","44.5205347660417 40.1830228179213",51002,"","","supermarket/shop(food)",10
"2283","44.5196884632125 40.1832711899516",51003,"??????","Ameria","bank/atm",10
"2284","44.5194035176044 40.1835033644757",51004,"??????? ????","Converse bank","bank/atm",10
"2285","44.5216556838532 40.1830937128213",51007,"","","supermarket/shop(food)",10
"2286","44.5212354519633 40.1831875986928",51008,"","","supermarket/shop(food)",10
"2287","44.5195502124903 40.1840222026921",51009,"???????","Beerevan","restaurant/cafe",6
"2288","44.5196403135133 40.1840881552552",51010,"????","Aldo","mall/shop(non-food)",14
"2289","44.5198021899275 40.1842280211445",51011,"""Hollywood""","","mall/shop(non-food)",14
"2290","44.5199337032851 40.1843276702676",51012,"""Roberto""","","mall/shop(non-food)",14
"2291","44.519990297148 40.1843945833363",51013,"""Mexx""","","mall/shop(non-food)",14
"2292","44.5201292665225 40.1845122815482",51014,"""Mary""","","mall/shop(non-food)",14
"2293","44.5198799840311 40.1849097088121",51015,"","","mall/shop(non-food)",14
"2294","44.520407474766 40.1847507656373",51016,"""Sali""","","mall/shop(non-food)",14
"2295","44.5204932638756 40.1848277666519",51017,"""Central""","","restaurant/cafe",6
"2296","44.5200717743443 40.1850733183232",51018,"","","mall/shop(non-food)",14
"2297","44.5215990001588 40.1851908094737",51021,"Allergology&Immunology Center","","healthcare",10
"2298","44.5220940617119 40.1850471023962",51022,"Policlinic No 4","","healthcare",10
"2299","44.5171661735578 40.1853264181654",51023,"?????? ????????","""Rivoli De Luxe""","mall/shop(non-food)",14
"2300","44.5172101910067 40.1853142710416",51024,"???? ????","Acba-Credit Acrigole Bank","bank/atm",10
"2301","44.5168623633287 40.1856946740042",51026,"??? ?????","""Mer Gyugh""","restaurant/cafe",6
"2302","44.5166766815595 40.1858735855024",51027,"????? ???","""Yankees"" Pub","pub/bar",4
"2303","44.5174550717532 40.1854986737544",51030,"?????","Omega","pub/bar",4
"2304","44.5175230742202 40.1855644876269",51031,"TOSP Made in Armenia","","mall/shop(non-food)",14
"2305","44.5178141283722 40.1854041048039",51032,"?? ???????","La Cucine","restaurant/cafe",6
"2306","44.5178898563507 40.1854560559781",51033,"AVA SHOES Made in Armenia","","mall/shop(non-food)",14
"2307","44.5179214770487 40.1854944874684",51034,"?????","Puma","mall/shop(non-food)",14
