"","longitude","latitude","district","supermarket/shop(food)","place_of_worship","School/kindergarten","beauty_salon","bank/atm","mall/shop(non-food)","bus_stop","healthcare","restaurant/cafe","state institutions/NGO","cinema/theatre/museum","pub/bar","university","post_office","totalScore"
"Davtashen.5",44.4770635679681,40.2130661465915,"Davtashen",18,2.7,8,4.5,9,4,12,13.5,7.6,0,3.6,0,2.7,0,85.6
"Davtashen.6",44.479165150671,40.2202906170995,"Davtashen",16,2.7,6,2.7,9,2.7,12,10.8,7.6,0,2.7,0,5,0,77.2
"Davtashen.7",44.4993503096949,40.224472401275,"Davtashen",20,2.7,9,4.5,9,4.5,14.25,14.25,9,0,2.375,0,2.25,0,91.825
"Davtashen.8",44.4699204881437,40.2163427687672,"Davtashen",18,2.25,6,3.6,8,3,11.4,11.4,5,0,2.25,0,2.25,0,73.15
"Davtashen.9",44.4873654899421,40.2240187729973,"Davtashen",16,2.7,8,3.6,8,3.6,12,12,8,0,2.7,0,4.5,0,81.1
"Davtashen.10",44.4984804444408,40.2158627324254,"Davtashen",16,3.6,7.6,3.6,8,3.6,12,12,9.5,0,3.6,0,3.6,0,83.1
"Davtashen.11",44.4739591540187,40.2180141875371,"Davtashen",18,2.7,6,3.6,9,3,10.8,10.8,6,0,2.7,0,2.25,0,74.85
"Davtashen.12",44.4621182910157,40.2224394015971,"Davtashen",12,4.5,5,2.25,5,5,7.125,7.125,10,0,4.5,0,4.5,0,67
"Davtashen.13",44.468241879691,40.2165347099398,"Davtashen",16,2.25,6,3.6,8,3,11.4,11.4,5,0,2.25,0,2.25,0,71.15
"Davtashen.14",44.512144852387,40.2236760936762,"Davtashen",12,2.375,7.2,2.7,5.7,2.7,9,10.8,6,0,2.375,0,2.25,0,63.1
"Davtashen.15",44.4962791944853,40.2205069392128,"Davtashen",20,3.6,9.5,4.5,10,4.5,15,14.25,9.5,0,2.85,0,2.7,0,96.4
"Davtashen.16",44.4567960868331,40.2266788117617,"Davtashen",10,0,10,4.5,4.5,0,14.25,14.25,4.5,0,0,0,0,0,62
"Davtashen.17",44.4590711556674,40.227402594573,"Davtashen",9.5,4.5,9.5,4.5,4.75,0,14.25,14.25,9,0,4.5,0,0,0,74.75
"Davtashen.18",44.4929527013708,40.2286999363365,"Davtashen",16,2.25,9,3.6,8,3.6,12,11.4,7.6,0,2.25,0,4.5,0,80.2
"Davtashen.19",44.4835065772911,40.2270776009796,"Davtashen",12,2.25,7.2,2.7,8,2.7,9,9,6,0,2.25,0,4.5,0,65.6
"Davtashen.20",44.4653609279766,40.219223004208,"Davtashen",15.2,4.5,6,2.7,6,2.5,8.55,8.55,4.5,0,4.5,0,4.5,0,67.5
"Erebuni.1",44.5590467629203,40.1491157767086,"Erebuni",10.8,0,4.5,0,9,4.5,13.5,13.5,9,0,0,0,0,0,64.8
"Erebuni.2",44.5246888290048,40.1061049418011,"Erebuni",20,0,9,4.5,0,0,13.5,0,4.5,0,0,0,0,0,51.5
"Erebuni.3",44.5368208937862,40.117729507162,"Erebuni",12,0,5.4,2.25,5,2.375,6.75,7.125,7.2,0,0,0,0,0,48.1
"Erebuni.4",44.5851777832791,40.1480475904184,"Erebuni",18,0,9,0,0,0,0,0,0,0,0,0,0,0,27
"Erebuni.5",44.5382096617837,40.1550898989623,"Erebuni",12,2.25,7.6,5,7.2,2.5,9,8.55,7.2,0,4.5,0,4.5,0,70.3
"Erebuni.6",44.5164786927151,40.12566014931,"Erebuni",16,0,7.2,2.7,8,3.6,10.8,11.4,7.2,0,0,0,0,0,66.9
"Erebuni.7",44.5548384538058,40.1056175520581,"Erebuni",0,0,0,0,0,0,0,0,4.5,0,0,0,0,0,4.5
"Erebuni.8",44.5926170653521,40.1255910720373,"Erebuni",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erebuni.9",44.5568051556197,40.1375297548459,"Erebuni",12,0,5.4,4.5,0,4.5,14.25,0,0,0,0,0,0,0,40.65
"Erebuni.10",44.5778095570062,40.1352828610649,"Erebuni",18,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"Erebuni.11",44.5306634756188,40.1239023961434,"Erebuni",19,0,8,3.6,8,3.6,10.8,11.4,7.2,0,0,0,0,0,71.6
"Erebuni.12",44.5867494334031,40.132537074554,"Erebuni",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Erebuni.13",44.530424580789,40.105796513684,"Erebuni",20,0,9,4.5,0,0,13.5,0,4.5,0,0,0,0,0,51.5
"Erebuni.14",44.5410749234592,40.127704784652,"Erebuni",19,0,6,2.7,5.7,2.85,8.1,8.1,5.7,0,0,0,0,0,58.15
"Erebuni.15",44.5847792300153,40.1515177764642,"Erebuni",0,0,0,0,0,0,13.5,0,9,0,0,0,0,0,22.5
"Erebuni.16",44.5189933323458,40.1318406093881,"Erebuni",20,0,8,3.6,10,3.8,13.5,14.25,9,0,4.5,0,0,0,86.65
"Erebuni.17",44.5203650366411,40.1539192435383,"Erebuni",20,2.7,10,3.6,8,4,15,13.5,8,0,2.375,0,4.75,0,91.925
"Erebuni.18",44.5550133170322,40.1570608589387,"Erebuni",10,0,4.75,4.75,4.5,4.5,6.75,6.75,5.4,0,0,0,0,0,47.4
"Erebuni.19",44.513784099581,40.1218586240557,"Erebuni",12,0,5.4,2.25,6,2.85,8.1,8.55,5.4,0,0,0,0,0,50.55
"Erebuni.20",44.5405140682076,40.1481373720536,"Erebuni",20,4.5,7.6,2.25,7.2,2.7,10.8,8.1,5.4,0,0,0,0,0,68.55
"Kanaker-Zeytun.1",44.5366945199458,40.2145093911696,"Kanaker-Zeytun",20,3.8,8,4,9,4.5,12,12,7.2,0,4.5,0,2.85,0,87.85
"Kanaker-Zeytun.2",44.5534988247223,40.2311623174561,"Kanaker-Zeytun",16,2.7,5.4,2.7,7.6,2.7,6.75,12,7.2,0,0,0,2.7,0,65.75
"Kanaker-Zeytun.3",44.5499761152839,40.2301091374962,"Kanaker-Zeytun",18,3.6,7.2,2.7,9,2.7,6.75,13.5,7.2,0,0,0,2.375,0,73.025
"Kanaker-Zeytun.4",44.5322224753968,40.2092750561651,"Kanaker-Zeytun",20,4.5,9.5,4.75,10,4.75,15,15,8,0,2.25,0,3.8,0,97.55
"Kanaker-Zeytun.5",44.5540797997701,40.2309598531167,"Kanaker-Zeytun",16,2.7,5.4,2.7,7.6,2.7,7.125,12,6,0,0,0,2.7,0,64.925
"Kanaker-Zeytun.6",44.5407202081591,40.199997510488,"Kanaker-Zeytun",20,3.6,9.5,5,10,4.75,15,15,9.5,0,5,4.75,3.6,0,105.7
"Kanaker-Zeytun.7",44.5288486100078,40.205586969952,"Kanaker-Zeytun",20,4.5,10,4.75,10,4.75,15,15,10,0,2.375,5,4.75,0,106.125
"Kanaker-Zeytun.8",44.5602159058932,40.2350352617573,"Kanaker-Zeytun",10.8,2.25,5,2.5,5.4,2.7,6.75,9,7.2,0,0,0,2.25,0,53.85
"Kanaker-Zeytun.9",44.5200662772472,40.1986652158306,"Kanaker-Zeytun",20,2.7,10,4.75,10,4.5,15,15,10,0,3.6,3,4,0,102.55
"Kanaker-Zeytun.10",44.5528511113093,40.2312518942215,"Kanaker-Zeytun",16,2.7,5.4,2.7,7.6,2.7,6.75,12,7.2,0,0,0,2.375,0,65.425
"Kanaker-Zeytun.11",44.5338806177004,40.2152938072114,"Kanaker-Zeytun",20,3.8,8,3.8,9,4.5,13.5,12,6,0,4.5,0,2.85,0,87.95
"Kanaker-Zeytun.12",44.5312617212338,40.2079725732742,"Kanaker-Zeytun",20,4.5,9.5,4.75,10,5,15,15,9,0,2.25,0,3.8,0,98.8
"Kanaker-Zeytun.13",44.5404551490799,40.2229262590966,"Kanaker-Zeytun",19,4.5,10,4.5,7.6,2.7,9,12,7.6,0,0,0,2.375,0,79.275
"Kanaker-Zeytun.14",44.5430589606437,40.2031881736433,"Kanaker-Zeytun",20,3.6,10,5,10,4.75,15,15,9.5,0,0,0,2.85,0,95.7
"Kanaker-Zeytun.15",44.546642167597,40.2071585420973,"Kanaker-Zeytun",20,2.7,9,5,8,4.75,15,15,8,0,0,0,2.5,0,89.95
"Kanaker-Zeytun.16",44.5404632622413,40.2009676125088,"Kanaker-Zeytun",20,3.6,9.5,5,10,4.75,15,15,9.5,0,5,4.5,3.8,0,105.65
"Kanaker-Zeytun.17",44.5395512931531,40.227851875797,"Kanaker-Zeytun",16,4,8,3.6,7.6,2.375,7.125,12,9,0,0,0,4.75,0,74.45
"Kanaker-Zeytun.18",44.5459383374931,40.1976541204414,"Kanaker-Zeytun",19,2.85,9,4.5,9,4.75,12,14.25,9.5,0,4.75,0,2.85,0,92.45
"Kanaker-Zeytun.19",44.5412424766365,40.2270116308659,"Kanaker-Zeytun",16,4.5,8,3.6,7.6,2.5,7.5,12,9,0,0,0,4.75,0,75.45
"Kanaker-Zeytun.20",44.5415286078798,40.2258563690204,"Kanaker-Zeytun",19,4.5,9.5,3.6,9,2.5,7.5,13.5,9,0,0,0,2.25,0,80.35
"Kentron.1",44.5027326915629,40.1841536129491,"Kentron",19,4.5,10,4.75,10,4,12,15,10,0,3.6,4.75,4.5,0,102.1
"Kentron.2",44.4986316250198,40.1650387245267,"Kentron",18,2.7,9,2.85,8,3.6,12,9,8,2.375,3.6,2.375,5,0,86.5
"Kentron.3",44.4844431819412,40.1750051047519,"Kentron",16,2.25,5.4,2.5,7.2,3.8,12,10.8,7.6,4.75,3.6,2.375,4.75,0,83.025
"Kentron.4",44.4926493292966,40.1817402691441,"Kentron",20,3.6,7.2,3,8,4.75,15,15,10,0,4.5,3,2.85,0,96.9
"Kentron.5",44.5066533196742,40.1761235897671,"Kentron",20,4.5,10,5,10,5,13.5,15,10,0,5,4.75,3.6,0,106.35
"Kentron.6",44.5191186269014,40.1876535391379,"Kentron",20,4.5,9.5,4,10,5,15,15,10,0,5,5,5,0,108
"Kentron.7",44.504346235932,40.1938236694733,"Kentron",20,3.6,9.5,4.5,10,4.75,15,15,10,0,4.5,4,4.5,0,105.35
"Kentron.8",44.5213775402205,40.1802602561757,"Kentron",20,4.5,10,5,10,5,15,15,10,0,4.75,4.75,4,0,108
"Kentron.9",44.5298660443434,40.1791185821007,"Kentron",20,3,9.5,4.5,10,5,14.25,13.5,10,0,3.8,4.5,4,0,102.05
"Kentron.10",44.4983512407033,40.1773801597962,"Kentron",20,4.5,9.5,4,10,5,14.25,15,10,0,3.8,3.8,3.6,0,103.45
"Kentron.11",44.5205858812446,40.1682798564958,"Kentron",20,4.5,10,4.5,10,4.75,13.5,15,10,0,3.6,3,3.8,0,102.65
"Kentron.12",44.5107578895952,40.1798139419154,"Kentron",20,4,9.5,5,10,5,13.5,15,10,0,4.75,5,4.5,0,106.25
"Kentron.13",44.5172268954016,40.1636901311918,"Kentron",20,4.5,10,3.6,8,4.75,14.25,15,9.5,0,3,2.5,2.85,0,97.95
"Kentron.14",44.5126806865137,40.1753352281796,"Kentron",20,3.8,9,4.75,10,5,15,14.25,10,0,5,4.5,4,0,105.3
"Kentron.15",44.5018932094289,40.1723945369262,"Kentron",16,3.6,9.5,4,10,4.5,12,15,9,0,4,3.8,2.7,0,94.1
"Kentron.16",44.5275331781742,40.1928478923247,"Kentron",16,2.85,9,3,10,4,15,15,10,0,4,3.6,5,0,97.45
"Kentron.17",44.4937315694157,40.1715398768205,"Kentron",16,3.6,9,3,9,3,14.25,12,9,4.75,3.6,2.85,2.25,0,92.3
"Kentron.18",44.4823813259102,40.1835372018961,"Kentron",15.2,2.375,7.2,3.6,7.6,3.8,12,11.4,9,0,3.6,5,2.7,0,83.475
"Kentron.19",44.5157617974284,40.1834962140157,"Kentron",20,4.5,10,4.75,10,5,15,15,10,0,4.75,5,4,0,108
"Kentron.20",44.5037269332579,40.179058294961,"Kentron",20,4.5,10,5,10,5,14.25,15,10,0,4,4.75,4.5,0,107
"Malatia-Sebastia.1",44.4443507725846,40.1626951554245,"Malatia-Sebastia",20,3.6,9,2.85,10,4.5,15,15,9,0,0,0,0,0,88.95
"Malatia-Sebastia.2",44.4350966004572,40.1613544209993,"Malatia-Sebastia",18,2.375,7.2,2.25,8,3.6,12,12,7.2,0,0,0,0,0,72.625
"Malatia-Sebastia.3",44.4100939873386,40.1727206464303,"Malatia-Sebastia",20,4.5,4.5,4.5,0,0,7.5,13.5,9,0,0,0,0,0,63.5
"Malatia-Sebastia.4",44.4381895020263,40.1729312868737,"Malatia-Sebastia",18,4.5,10,3.6,10,4,15,13.5,9.5,0,0,0,0,0,88.1
"Malatia-Sebastia.5",44.4674681779574,40.151300619871,"Malatia-Sebastia",16,3.6,9.5,2.7,8,3.6,9,12,8,2.85,0,0,0,0,75.25
"Malatia-Sebastia.6",44.4552935588305,40.1738526949581,"Malatia-Sebastia",20,3.6,10,4.5,10,4.5,15,14.25,9.5,0,4.5,0,0,0,95.85
"Malatia-Sebastia.7",44.4687034583911,40.1607367542419,"Malatia-Sebastia",12,4.5,8,2.7,7.2,3,7.5,11.4,9.5,2.375,0,0,0,0,68.175
"Malatia-Sebastia.8",44.4769335221677,40.1767677361674,"Malatia-Sebastia",12,2.25,5.7,2.375,5.7,3.8,9,8.55,7.6,0,2.7,4.5,4.5,0,68.675
"Malatia-Sebastia.9",44.4557375880107,40.1723623174609,"Malatia-Sebastia",20,3.6,10,4.5,10,4.75,15,14.25,9.5,0,4.5,0,0,0,96.1
"Malatia-Sebastia.10",44.4720502351085,40.176480125772,"Malatia-Sebastia",12,2.7,7.6,2.7,6,3,9,10.8,6,0,2.7,4.5,4.5,0,71.5
"Malatia-Sebastia.11",44.4794323475118,40.1690541163066,"Malatia-Sebastia",12,2.7,7.2,2.25,7.2,2.85,9,9,6,2.375,2.7,0,0,0,63.275
"Malatia-Sebastia.12",44.4588625665691,40.1818541899107,"Malatia-Sebastia",18,4.5,9.5,2.7,10,4.5,14.25,14.25,9,0,4.5,0,4.5,0,95.7
"Malatia-Sebastia.13",44.4839160072375,40.1804554034283,"Malatia-Sebastia",18,2.375,5.4,2.7,6,4.75,14.25,10.8,9.5,0,4.5,2.25,2.375,0,82.9
"Malatia-Sebastia.14",44.4159103269934,40.1928713112616,"Malatia-Sebastia",18,0,9,0,0,0,10.8,0,5.4,0,0,0,0,0,43.2
"Malatia-Sebastia.15",44.42889102256,40.188006356553,"Malatia-Sebastia",12,2.25,9,4.5,5,5,13.5,8.1,9,0,0,0,0,0,68.35
"Malatia-Sebastia.16",44.4730475662686,40.1815175096481,"Malatia-Sebastia",12,2.7,6,2.7,6,3,9,9,7.2,0,2.7,0,2.25,0,62.55
"Malatia-Sebastia.17",44.4065724202588,40.180501408064,"Malatia-Sebastia",0,0,4.75,0,9,0,7.5,13.5,9,0,0,0,0,0,43.75
"Malatia-Sebastia.18",44.4631723896184,40.1879404569555,"Malatia-Sebastia",18,2.7,9,2.7,10,3.6,14.25,13.5,9.5,0,4.5,0,2.25,0,90
"Malatia-Sebastia.19",44.4187301642664,40.1937088751927,"Malatia-Sebastia",19,4.5,9,0,0,0,12,13.5,5.4,0,0,0,0,0,63.4
"Malatia-Sebastia.20",44.4830837285888,40.172701297846,"Malatia-Sebastia",14.4,2.375,6,5,7.2,3.8,12,8.1,7.6,4.75,3.6,5,4.75,0,84.575
"Nor Nork.1",44.5944223189623,40.1887193861687,"Nor Nork",18,0,10,4.75,9,5,13.5,7.5,5.4,0,0,0,0,4.75,77.9
"Nor Nork.2",44.570147756364,40.1953143651926,"Nor Nork",19,0,9,4.5,10,5,15,13.5,9,0,0,0,2.7,2.85,90.55
