"","X","TYPE","lon","lat","cell","districtName","districtpoints"
"1017",1017,"Shops",44.5252622400559,40.1419347633882,11,"Hello",0
"1018",1018,"Shops",44.5256157271202,40.141486267097,11,"Hello",0
"1019",1019,"Shops",44.5282808489051,40.1417534698833,11,"Hello",0
"1020",1020,"Shops",44.5325208072147,40.1414741807986,11,"Hello",0
"1021",1021,"Shops",44.5377550208806,40.1424616792264,11,"Hello",0
"1022",1022,"Shops",44.5380317019882,40.14253227314,11,"Hello",0
"1023",1023,"Shops",44.542143021549,40.131111792429,11,"Hello",0
"1024",1024,"Shops",44.5422606110197,40.1312477838981,11,"Hello",0
"1025",1025,"Shops",44.54458868491,40.1429833033396,11,"Hello",0
"1026",1026,"Shops",44.5186150662796,40.1445769926435,11,"Hello",0
"1027",1027,"Shops",44.5207597041889,40.1457988781924,11,"Hello",0
"1028",1028,"Shops",44.5271637040178,40.1446907084451,11,"Hello",0
"1029",1029,"Shops",44.5262655683968,40.1462443933182,11,"Hello",0
"1030",1030,"Shops",44.5226881176093,40.1503832594632,11,"Hello",0
"1031",1031,"Shops",44.523139251545,40.1546105807369,11,"Hello",0
"1032",1032,"Shops",44.5232091404741,40.1548774572655,11,"Hello",0
"1033",1033,"Shops",44.5284378744168,40.1475969203366,11,"Hello",0
"1034",1034,"Shops",44.5283523548018,40.1476719035312,11,"Hello",0
"1035",1035,"Shops",44.5361757826112,40.1441480159226,11,"Hello",0
"1036",1036,"Shops",44.5367472907949,40.1443534059472,11,"Hello",0
"1037",1037,"Shops",44.5380381698582,40.1448838737997,11,"Hello",0
"1038",1038,"Shops",44.5189193256663,40.1564434047113,11,"Hello",0
"1039",1039,"Shops",44.523129729403,40.1550916717805,11,"Hello",0
"1040",1040,"Shops",44.5135851295092,40.174176364921,9,"Hello",0
"1041",1041,"Shops",44.5082247923773,40.1781015150842,9,"Hello",0
"1042",1042,"Shops",44.5144855109185,40.1820655579433,9,"Hello",0
"1043",1043,"Shops",44.4933839052314,40.1992346142086,4,"Hello",0
"1044",1044,"Shops",44.4947607530674,40.1970237062586,4,"Hello",0
"1045",1045,"Shops",44.5249428889724,40.1784637702835,9,"Hello",0
"1046",1046,"Shops",44.5191245907087,40.1908786612953,9,"Hello",0
"1047",1047,"Shops",44.5285107277864,40.2087220640198,4,"Hello",0
"1048",1048,"Shops",44.5450782667398,40.2022539631841,3,"Hello",0
"1049",1049,"Shops",44.5469384081987,40.20800960631,3,"Hello",0
"1050",1050,"Shops",44.5311008402451,40.2142553792442,4,"Hello",0
"1051",1051,"Shops",44.5418897864704,40.2203225795514,3,"Hello",0
"1052",1052,"Shops",44.5812151550002,40.2169118054943,1,"Hello",0
"1053",1053,"Shops",44.4334908896194,40.1605964783624,6,"Hello",0
"1054",1054,"Shops",44.4435605547968,40.1640665839828,6,"Hello",0
"1055",1055,"Shops",44.4482550606401,40.1621331857878,6,"Hello",0
"1056",1056,"Shops",44.4623228576524,40.1459467884395,8,"Hello",0
"1057",1057,"Shops",44.4358710657962,40.1778149628508,6,"Hello",0
"1058",1058,"Shops",44.445325564667,40.1826146046069,6,"Hello",0
"1059",1059,"Shops",44.4522790639553,40.1724828115024,6,"Hello",0
"1060",1060,"Shops",44.460505116675,40.1831045563716,6,"Hello",0
"1061",1061,"Shops",44.4588222128217,40.1890792948667,13,"Hello",0
"1062",1062,"Shops",44.4360832478663,40.2111482059107,13,"Hello",0
"1063",1063,"Shops",44.4365540549068,40.2136397731834,13,"Hello",0
"1064",1064,"Shops",44.4398307497371,40.2107971015952,13,"Hello",0
"1065",1065,"Shops",44.4817138913754,40.1425762912923,8,"Hello",0
"1066",1066,"Shops",44.4816062732044,40.1429250706198,8,"Hello",0
"1067",1067,"Shops",44.4836619779006,40.1379536801841,8,"Hello",0
"1068",1068,"Shops",44.4842408522697,40.1422012776964,8,"Hello",0
"1069",1069,"Shops",44.4862646667733,40.1420204656039,8,"Hello",0
"1070",1070,"Shops",44.4865603023333,40.1437951913549,8,"Hello",0
"1071",1071,"Shops",44.5145111129041,40.1390415634661,11,"Hello",0
"1072",1072,"Shops",44.5143541772239,40.1425806175678,11,"Hello",0
"1073",1073,"Shops",44.474649180655,40.1514493838303,8,"Hello",0
"1074",1074,"Shops",44.4748026129055,40.151544755382,8,"Hello",0
"1075",1075,"Shops",44.4745735425081,40.1518056017282,8,"Hello",0
"1076",1076,"Shops",44.4745505456368,40.1518410998242,8,"Hello",0
"1077",1077,"Shops",44.4774443784931,40.1535559722051,8,"Hello",0
"1078",1078,"Shops",44.4779010819835,40.1535561095249,8,"Hello",0
"1079",1079,"Shops",44.4832956449277,40.1520392571334,8,"Hello",0
"1080",1080,"Shops",44.4823939160455,40.1543709608351,8,"Hello",0
"1081",1081,"Shops",44.4843738927632,40.1441272090751,8,"Hello",0
"1082",1082,"Shops",44.485604674534,40.1463852985421,8,"Hello",0
"1083",1083,"Shops",44.4858219770012,40.1463184853315,8,"Hello",0
"1084",1084,"Shops",44.4862491259188,40.1467364616535,8,"Hello",0
"1085",1085,"Shops",44.4918715016191,40.1482894817497,8,"Hello",0
