"","TYPE","point","lon","lat"
"995","mall/shop(non-food)",14,44.5144900024949,40.1689017949422
"996","bank/atm",10,44.5138823820367,40.1692879873811
"997","restaurant/cafe",6,44.5148182468997,40.168985609734
"998","bank/atm",10,44.5145634846851,40.169280573825
"999","restaurant/cafe",6,44.515329657791,40.1690241878425
"1000","bookmaker",1,44.5155015055048,40.169060157447
"1001","bank/atm",10,44.5152341668762,40.1692124789008
"1002","restaurant/cafe",6,44.5157114417867,40.1691421186503
"1003","state institutions/NGO",4,44.5161182887789,40.1693188085458
"1004","bank/atm",10,44.5164582112824,40.1695386749336
"1005","healthcare",10,44.5165685243993,40.169700879995
"1006","bank/atm",10,44.5139618829393,40.1713641631052
"1007","state institutions/NGO",4,44.514000241002,40.1713962875232
"1008","bank/atm",10,44.5139931443112,40.1714599185371
"1009","healthcare",10,44.5073911557936,40.1719487153072
"1010","mall/shop(non-food)",14,44.5070475501975,40.1723609739665
"1011","bank/atm",10,44.5058323092811,40.1739156731534
"1012","bus_stop",4,44.5103027752925,40.1716944672932
"1013","bus_stop",4,44.5104911520076,40.1720811929716
"1014","beauty_salon",4,44.5108539815509,40.173032622113
"1015","cinema/theatre/museum",6,44.510535079625,40.1741113636709
"1016","playground/attraction",4,44.5062849703528,40.1756092594526
"1017","playground/attraction",4,44.5074437970693,40.1762937791986
"1018","restaurant/cafe",6,44.5093957463502,40.174891717755
"1019","cinema/theatre/museum",6,44.50917709641,40.17523051589
"1020","restaurant/cafe",6,44.5103530809484,40.1743367056477
"1021","bank/atm",10,44.5109306976761,40.1747223866917
"1022","state institutions/NGO",4,44.5109057245112,40.1747676194735
"1023","bank/atm",10,44.5105921226456,40.1751084087344
"1024","playground/attraction",4,44.5086173561565,40.1758822994412
"1025","state institutions/NGO",4,44.509328911693,40.1767791779666
"1026","restaurant/cafe",6,44.5109875610336,40.1762210926306
"1027","restaurant/cafe",6,44.5117707122983,40.1718911938366
"1028","bank/atm",10,44.5131993929262,40.1715203919697
"1029","bank/atm",10,44.5132017285459,40.1715440047369
"1030","bank/atm",10,44.5132024471982,40.1715685784801
"1031","bus_stop",4,44.5137215836008,40.1716035171108
"1032","bank/atm",10,44.5132309237927,40.1719321040999
"1033","bank/atm",10,44.5132320916025,40.1719492644379
"1034","bank/atm",10,44.5132316424449,40.1719662188476
"1035","mall/shop(non-food)",14,44.5130358097129,40.1723022859486
"1036","bank/atm",10,44.5133597422044,40.1723722997185
"1037","bus_stop",4,44.5135509036969,40.1724947550012
"1038","restaurant/cafe",6,44.5114375271594,40.1729676197673
"1039","healthcare",10,44.5130915950921,40.1733259212573
"1040","healthcare",10,44.5131686705435,40.1733682034539
"1041","mall/shop(non-food)",14,44.5133953154897,40.173460386788
"1042","mall/shop(non-food)",14,44.513464395935,40.1735000605895
"1043","mall/shop(non-food)",14,44.5135445256583,40.1736466063505
"1044","supermarket/shop(food)",10,44.5135851295092,40.174176364921
"1045","restaurant/cafe",6,44.5140180276446,40.1727567563971
"1046","playground/attraction",4,44.5146094784277,40.1724207601875
"1047","restaurant/cafe",6,44.5158567891997,40.1726014227076
"1048","playground/attraction",4,44.5147246424471,40.1729088636337
"1049","healthcare",10,44.5139191231318,40.1736941735951
"1050","restaurant/cafe",6,44.5139272978009,40.1739210956622
"1051","bank/atm",10,44.5149175107386,40.173576868454
"1052","bank/atm",10,44.51498048264,40.1735794767625
"1053","state institutions/NGO",4,44.5123198524315,40.1748457986717
"1054","state institutions/NGO",4,44.5112197755346,40.175247675394
"1055","bank/atm",10,44.5135898007487,40.174439869879
"1056","supermarket/shop(food)",10,44.5136171095333,40.1744794058303
"1057","bank/atm",10,44.5136221400989,40.1745843544503
"1058","mall/shop(non-food)",14,44.5131953505074,40.1752798666117
"1059","restaurant/cafe",6,44.5133495912417,40.175333266935
"1060","restaurant/cafe",6,44.5112001024298,40.1762907591728
"1061","restaurant/cafe",6,44.5114605240307,40.1761873918441
"1062","restaurant/cafe",6,44.5119558550784,40.1759956196367
"1063","bank/atm",10,44.5118358401564,40.1762747667611
"1064","bank/atm",10,44.5113921622376,40.1763867135641
"1065","bank/atm",10,44.5124505573053,40.1767575574789
"1066","restaurant/cafe",6,44.5127298435272,40.1759337774456
"1067","restaurant/cafe",6,44.5136878967777,40.1757983558915
"1068","bank/atm",10,44.5135625817956,40.176308673415
"1069","bank/atm",10,44.5136092941903,40.176285885949
"1070","state institutions/NGO",4,44.5126141405186,40.176601821127
"1071","mall/shop(non-food)",14,44.5130030212051,40.1767270142384
"1072","post_office",3,44.5130973443099,40.1766863127752
"1073","mall/shop(non-food)",14,44.513921189257,40.1742830986233
"1074","bus_stop",4,44.513883460015,40.1747941139265
"1075","bank/atm",10,44.5139921561644,40.1748582222235
"1076","bank/atm",10,44.5140528822776,40.1752913977905
"1077","restaurant/cafe",6,44.5140334786675,40.1753783620339
"1078","restaurant/cafe",6,44.514181970184,40.1757905998591
"1079","restaurant/cafe",6,44.5140854911224,40.1759258155168
"1080","bank/atm",10,44.5142318266822,40.1759871772543
"1081","state institutions/NGO",4,44.5142075721695,40.1762731194738
"1082","restaurant/cafe",6,44.5145045552025,40.1762114148097
"1083","state institutions/NGO",4,44.5149387109793,40.1761234907142
"1084","state institutions/NGO",4,44.5141480138662,40.1766500040294
"1085","state institutions/NGO",4,44.5144997043,40.1764454666866
"1086","state institutions/NGO",4,44.5150752549025,40.1769905779283
"1087","state institutions/NGO",4,44.516262648045,40.1761790867597
"1088","mall/shop(non-food)",14,44.5164520129069,40.1765683950763
"1089","restaurant/cafe",6,44.5165349274076,40.1765047688522
"1090","state institutions/NGO",4,44.5160068078521,40.1769063612043
"1091","restaurant/cafe",6,44.5160505558065,40.1768769162126
"1092","cinema/theatre/museum",6,44.5000189517515,40.1790232098582
"1093","restaurant/cafe",6,44.4966167622759,40.1800914925881
"1094","restaurant/cafe",6,44.4979910948291,40.1806242893105
"1095","restaurant/cafe",6,44.4989673838799,40.1804929950796
"1096","healthcare",10,44.4981571034936,40.1815005842879
"1097","healthcare",10,44.4985981762981,40.181509712301
"1098","bank/atm",10,44.4989637906187,40.1817690708974
"1099","healthcare",10,44.5018484606591,40.1771859850345
"1100","place_of_worship",3,44.5022466838246,40.1770297692125
"1101","restaurant/cafe",6,44.5028406498904,40.1776236070567
"1102","School/kindergarten",7,44.5025046799742,40.1779796876358
"1103","state institutions/NGO",4,44.501073573895,40.1786952749143
"1104","supermarket/shop(food)",10,44.5014059505501,40.1785847732472
"1105","restaurant/cafe",6,44.5018595997686,40.178776812675
"1106","supermarket/shop(food)",10,44.5027137179408,40.1784470920362
"1107","supermarket/shop(food)",10,44.502613106629,40.1786318565882
"1108","supermarket/shop(food)",10,44.5024675795529,40.1787749595452
"1109","healthcare",10,44.501576091465,40.1791709104705
"1110","bank/atm",10,44.5015926204662,40.1791499084514
"1111","mall/shop(non-food)",14,44.5039241079546,40.1771594915153
"1112","mall/shop(non-food)",14,44.5037621417089,40.1779341824539
"1113","state institutions/NGO",4,44.503757919627,40.1779945814821
"1114","restaurant/cafe",6,44.5039846544047,40.178126910074
"1115","bank/atm",10,44.5049479178839,40.1783024784196
"1116","supermarket/shop(food)",10,44.504222707955,40.178432610098
"1117","mall/shop(non-food)",14,44.5039819594589,40.1785913621715
"1118","bank/atm",10,44.5049167463435,40.1788774993201
"1119","bus_stop",4,44.5050783532632,40.1785085201285
"1120","healthcare",10,44.5049289634314,40.178912914628
"1121","School/kindergarten",7,44.5042435488696,40.1796311687738
"1122","bank/atm",10,44.505188486717,40.1791329558364
"1123","healthcare",10,44.5001644788275,40.1822028200258
"1124","healthcare",10,44.503152185631,40.1799306163931
"1125","beauty_salon",4,44.5050022659586,40.1801431046654
"1126","sport/fitness",4,44.505215526007,40.182188956568
"1127","state institutions/NGO",4,44.4974475242507,40.1833574576698
