"","TYPE","point","lon","lat","cell"
"1269","bank/atm",10,44.4894044583543,40.1960197784744,11
"1270","beauty_salon",4,44.4901376632892,40.1958782214713,11
"1271","supermarket/shop(food)",10,44.4941091151603,40.1958489219481,11
"1272","bus_stop",4,44.4942319148596,40.1959045018292,11
"1273","mall/shop(non-food)",14,44.4944460732234,40.1960444119702,11
"1274","supermarket/shop(food)",10,44.4945752509612,40.1960109954988,11
"1275","supermarket/shop(food)",10,44.4934329532459,40.1964880192139,11
"1276","bus_stop",4,44.4941770277958,40.1962350982547,11
"1277","restaurant/cafe",6,44.4941031862794,40.1964435556953,11
"1278","supermarket/shop(food)",10,44.4939196604669,40.1969627752441,11
"1279","bank/atm",10,44.4924873865779,40.197961474325,11
"1280","healthcare",10,44.4925962623903,40.1981529785964,4
"1281","healthcare",10,44.4925962623903,40.1981529785964,11
"1282","healthcare",10,44.4926185406094,40.1982368944862,11
"1283","supermarket/shop(food)",10,44.4937276904907,40.1976048124737,11
"1284","supermarket/shop(food)",10,44.4936191740043,40.1976993644131,11
"1285","bank/atm",10,44.4935535071571,40.1982095171959,11
"1286","healthcare",10,44.4933459064949,40.1983355624233,11
"1287","mall/shop(non-food)",14,44.4938070117303,40.1983396106875,11
"1288","beauty_salon",4,44.4935286238237,40.1986717733698,11
"1289","bus_stop",4,44.4940439873022,40.1983656842475,11
"1290","mall/shop(non-food)",14,44.494489192357,40.1986227827357,11
"1291","bus_stop",4,44.4752851878762,40.1991881626912,11
"1292","bus_stop",4,44.4758339686832,40.1992860058798,11
"1293","university",6,44.4759290104403,40.2001478569269,11
"1294","School/kindergarten",7,44.4743532756004,40.2029443203676,11
"1295","supermarket/shop(food)",10,44.4761645487078,40.202118662781,11
"1296","bank/atm",10,44.4786967198307,40.1998128883366,11
"1297","bus_stop",4,44.47974110118,40.2020547860769,11
"1298","bus_stop",4,44.480159985597,40.2021327966085,11
"1299","restaurant/cafe",6,44.4806902611092,40.203757755469,11
"1300","bank/atm",10,44.4803674964276,40.204062173636,11
"1301","bus_stop",4,44.4736947206656,40.204775976391,4
"1302","bank/atm",10,44.4739969139272,40.2046520699928,4
"1303","bus_stop",4,44.4740881827601,40.2047425642229,4
"1304","bank/atm",10,44.4747464682003,40.2046338201941,4
"1305","bank/atm",10,44.4748549846866,40.2046614693233,4
"1306","bank/atm",10,44.4747563496684,40.2047291170212,4
"1307","bank/atm",10,44.4747478156732,40.2047811220007,4
"1308","bank/atm",10,44.4748855274063,40.2047831802444,4
"1309","bank/atm",10,44.4750094949155,40.2047158756414,4
"1310","supermarket/shop(food)",10,44.4761566435333,40.205105912091,4
"1311","healthcare",10,44.4763674781305,40.2051396671189,4
"1312","mall/shop(non-food)",14,44.4759701532803,40.2052838118759,4
"1313","healthcare",10,44.4756985027384,40.205540472486,4
"1314","mall/shop(non-food)",14,44.4761382280699,40.2053100199806,4
"1315","bus_stop",4,44.4765822653149,40.2052875852948,4
"1316","bank/atm",10,44.4765528005736,40.2053804113321,4
"1317","mall/shop(non-food)",14,44.476576156771,40.2053981806773,4
"1318","healthcare",10,44.4766887156761,40.2054097753441,4
"1319","healthcare",10,44.4767328229565,40.2058398057257,4
"1320","mall/shop(non-food)",14,44.4774402462428,40.2050627577728,4
"1321","bus_stop",4,44.4772550136312,40.2052652192091,4
"1322","bank/atm",10,44.4772181827045,40.2053869976537,4
"1323","bank/atm",10,44.4771385021388,40.2054248003827,4
"1324","bank/atm",10,44.4772446830054,40.2054680916852,4
"1325","healthcare",10,44.4777529497932,40.2061711083822,4
"1326","School/kindergarten",7,44.472965468318,40.2072406786959,4
"1327","School/kindergarten",7,44.4738130287885,40.2076053166739,4
"1328","healthcare",10,44.47675007061,40.2074891678563,4
"1329","School/kindergarten",7,44.4786178477487,40.2045108054453,4
"1330","supermarket/shop(food)",10,44.480120549556,40.2045521076893,4
"1331","healthcare",10,44.4801243224802,40.2046356726175,4
"1332","bus_stop",4,44.4801617822275,40.2048470543777,4
"1333","bus_stop",4,44.4806110297011,40.2053288184578,4
"1334","bus_stop",4,44.4806042923365,40.2085369012005,4
"1335","bus_stop",4,44.4812306875841,40.2093939696098,4
"1336","supermarket/shop(food)",10,44.4865861738134,40.1997820810234,11
"1337","university",6,44.4912809491513,40.1999453802075,11
"1338","bank/atm",10,44.4912760084173,40.2001657648693,11
"1339","bank/atm",10,44.4913206546869,40.2001110804481,11
"1340","healthcare",10,44.4901694636503,40.2014856563954,11
"1341","bank/atm",10,44.4911545561908,40.2004166127907,11
"1342","supermarket/shop(food)",10,44.4910925724362,40.2006110604588,11
"1343","healthcare",10,44.4913466159986,40.2007082154715,11
"1344","supermarket/shop(food)",10,44.4909775880799,40.2011959095758,11
"1345","healthcare",10,44.4920935651573,40.199663585949,11
