"X","TYPE","lon","lat","cell"
5775,"Hospitals, pharmacies",44.5436239841264,40.2030550567929,"3,4"
5785,"Hospitals, pharmacies",44.5422175817176,40.2038689708289,"3,4"
5820,"Hospitals, pharmacies",44.5454476539847,40.2019542710556,"3,4"
5834,"Hospitals, pharmacies",44.5397158634828,40.2071097790148,"3,4"
5844,"Hospitals, pharmacies",44.5407967164327,40.2084401690337,"3,4"
5845,"Hospitals, pharmacies",44.5408235760597,40.2085674987224,"3,4"
5855,"Hospitals, pharmacies",44.5411433763008,40.2095724755703,"3,4"
5867,"Hospitals, pharmacies",44.5449075868359,40.2061280919557,"3,4"
5876,"Hospitals, pharmacies",44.5459786481491,40.2077620109239,"3,4"
5919,"Hospitals, pharmacies",44.5598920247642,40.1996178894725,"4"
5998,"Hospitals, pharmacies",44.4903643082354,40.2185895019544,"2,3"
6009,"Hospitals, pharmacies",44.4929573851345,40.2206215045458,"2,3"
6084,"Hospitals, pharmacies",44.4952895014436,40.2222303129515,"2,3"
6097,"Hospitals, pharmacies",44.5026916193848,40.2220667930909,"3"
6293,"Hospitals, pharmacies",44.5473634011596,40.225664413198,"3,4"
6295,"Hospitals, pharmacies",44.5476341533862,40.2254823830932,"3,4"
6299,"Hospitals, pharmacies",44.5480441444819,40.226279155562,"3,4"
6398,"Hospitals, pharmacies",44.5650297593686,40.1709484662732,"4,8"
6430,"Hospitals, pharmacies",44.5691878811557,40.1740876145186,"4,8"
6472,"Hospitals, pharmacies",44.568167574656,40.1823409054005,"4,8"
6479,"Hospitals, pharmacies",44.570750590424,40.1821109917233,"4,8"
6494,"Hospitals, pharmacies",44.5632884650219,40.186448679489,"4,8"
6499,"Hospitals, pharmacies",44.5640526618341,40.1862287992612,"4,8"
6515,"Hospitals, pharmacies",44.5650574274794,40.187538599608,"4,8"
6521,"Hospitals, pharmacies",44.5684406625024,40.1826468609602,"4,8"
6685,"Hospitals, pharmacies",44.573210357335,40.1913551035178,"4,8"
6688,"Hospitals, pharmacies",44.5727487131105,40.192166070066,"4,8"
6709,"Hospitals, pharmacies",44.5654967934848,40.2039969951938,"4"
6748,"Hospitals, pharmacies",44.5650228423409,40.2052211730924,"4"
6792,"Hospitals, pharmacies",44.5726907717746,40.2047429072637,"4"
6888,"Hospitals, pharmacies",44.562691265021,40.2154365671463,"4"
6918,"Hospitals, pharmacies",44.5621851541899,40.217881812426,"4"
6984,"Hospitals, pharmacies",44.5820321727511,40.2123634052028,"4"
6991,"Hospitals, pharmacies",44.5786863076439,40.2153910870942,"4"
7019,"Hospitals, pharmacies",44.5762843922372,40.2196745841047,"4"
7023,"Hospitals, pharmacies",44.576070323705,40.2205411145668,"4"
7048,"Hospitals, pharmacies",44.5798070457924,40.2165077061537,"4"
7056,"Hospitals, pharmacies",44.580738598742,40.2170192951016,"4"
7059,"Hospitals, pharmacies",44.5809086498253,40.2171606021752,"4"
7095,"Hospitals, pharmacies",44.5804970417621,40.2202635900667,"4"
7104,"Hospitals, pharmacies",44.5715112838066,40.2214179912311,"4"
7119,"Hospitals, pharmacies",44.5734905418721,40.2231060017297,"4"
7140,"Hospitals, pharmacies",44.5856319915892,40.2146878916354,"4"
5,"Place of worship",44.4459512412624,40.1275183596644,"6,10"
180,"Place of worship",44.454233887845,40.1604350753809,"6"
204,"Place of worship",44.4695229444862,40.1595695616524,"6,7"
376,"Place of worship",44.4426125626774,40.1745057631183,"2,6"
579,"Place of worship",44.4573172652263,40.1792897158877,"2,6"
886,"Place of worship",44.4732618225302,40.1174170199554,"6,10,11"
887,"Place of worship",44.4738300967789,40.1175849139112,"6,10,11"
2615,"Place of worship",44.5022466838246,40.1770297692125,"3,7"
2693,"Place of worship",44.5037173157762,40.1853170161546,"3,7"
4344,"Place of worship",44.5214342491357,40.1666421201327,"3,7"
4401,"Place of worship",44.516955069466,40.1720019123279,"3,7"
4809,"Place of worship",44.5189213019599,40.1843477785095,"3,7"
5137,"Place of worship",44.541107713184,40.1868045078731,"3,4,7"
5641,"Place of worship",44.5322576008364,40.2061234953024,"3,4"
5969,"Place of worship",44.4888888253812,40.2139580039369,"2,3"
6216,"Place of worship",44.5349728486142,40.2203347889964,"3,4"
6236,"Place of worship",44.5340659993349,40.2216988033706,"3,4"
6285,"Place of worship",44.5454004924323,40.2241209140855,"3,4"
7150,"Place of worship",44.583083111802,40.2198379039604,"4"
2712,"Restaurants, cafe, fast-food",44.5076074701141,40.1778462605907,"3,7"
2766,"Restaurants, cafe, fast-food",44.5058313211343,40.1800473614856,"3,7"
2872,"Restaurants, cafe, fast-food",44.5150684277063,40.1788357009968,"3,7"
2883,"Restaurants, cafe, fast-food",44.5165868500311,40.1793663799315,"3,7"
2891,"Restaurants, cafe, fast-food",44.5123904600128,40.1806161906669,"3,7"
2898,"Restaurants, cafe, fast-food",44.5126951685572,40.1815040845036,"3,7"
2904,"Restaurants, cafe, fast-food",44.5132892244546,40.1819305604143,"3,7"
2961,"Restaurants, cafe, fast-food",44.5080620176478,40.1836028774041,"3,7"
2989,"Restaurants, cafe, fast-food",44.50851000748,40.1850187589873,"3,7"
2992,"Restaurants, cafe, fast-food",44.5094794693346,40.1847830209749,"3,7"
2993,"Restaurants, cafe, fast-food",44.5093851462298,40.1851860741451,"3,7"
2996,"Restaurants, cafe, fast-food",44.5104092256537,40.1845083010872,"3,7"
3007,"Restaurants, cafe, fast-food",44.5104246766766,40.1848972184724,"3,7"
3009,"Restaurants, cafe, fast-food",44.5107071968335,40.1851173089005,"3,7"
3012,"Restaurants, cafe, fast-food",44.5079198143384,40.1858495659578,"3,7"
3023,"Restaurants, cafe, fast-food",44.5090823241475,40.1854061636359,"3,7"
3030,"Restaurants, cafe, fast-food",44.5110472091685,40.1857779876643,"3,7"
3038,"Restaurants, cafe, fast-food",44.509023753991,40.187124168502,"3,7"
3042,"Restaurants, cafe, fast-food",44.5099494678913,40.1875751084035,"3,7"
3054,"Restaurants, cafe, fast-food",44.5121988493627,40.1828715569191,"3,7"
3057,"Restaurants, cafe, fast-food",44.5111717156669,40.1835405617391,"3,7"
3140,"Restaurants, cafe, fast-food",44.5140776757795,40.1844297898782,"3,7"
3165,"Restaurants, cafe, fast-food",44.5111676732481,40.1854933894262,"3,7"
3198,"Restaurants, cafe, fast-food",44.5133312656099,40.1860177025917,"3,7"
3207,"Restaurants, cafe, fast-food",44.5123934244533,40.1872656751521,"3,7"
3209,"Restaurants, cafe, fast-food",44.512447952191,40.1879286662478,"3,7"
3768,"Restaurants, cafe, fast-food",44.5131132444904,40.1890482768048,"3,7"
3808,"Restaurants, cafe, fast-food",44.5150209966593,40.1891564968396,"3,7"
4715,"Restaurants, cafe, fast-food",44.5245327182137,40.1809067803749,"3,7"
4842,"Restaurants, cafe, fast-food",44.5166766815595,40.1858735855024,"3,7"
4880,"Restaurants, cafe, fast-food",44.5188276975073,40.1874929635861,"3,7"
6069,"Shops",44.5158464585739,40.2140100704344,"3"
139,"Restaurants, cafe, fast-food",44.4512715135326,40.1488644135966,"6"
191,"Restaurants, cafe, fast-food",44.4648559270906,40.1576703632919,"6"
300,"Restaurants, cafe, fast-food",44.4374578499141,40.172070484942,"2,6"
322,"Restaurants, cafe, fast-food",44.4389231818056,40.1769800079459,"2,6"
462,"Restaurants, cafe, fast-food",44.4468582702048,40.1796685740609,"2,6"
520,"Restaurants, cafe, fast-food",44.4508524494526,40.1743026607306,"2,6"
539,"Restaurants, cafe, fast-food",44.4572585154067,40.1737468887709,"2,6"
605,"Restaurants, cafe, fast-food",44.4595041239539,40.183569180284,"2,6"
642,"Restaurants, cafe, fast-food",44.4312427657894,40.1914821221884,"1,2,6"
670,"Restaurants, cafe, fast-food",44.4621219045234,40.1881841573085,"2,6"
709,"Restaurants, cafe, fast-food",44.4718646727688,40.1910767046593,"2,3,6"
727,"Restaurants, cafe, fast-food",44.4639268894238,40.2000356748816,"2"
853,"Restaurants, cafe, fast-food",44.4395345751879,40.2165379570959,"2"
985,"Restaurants, cafe, fast-food",44.5428436176391,40.1159903854796,"8,11,12"
1008,"Restaurants, cafe, fast-food",44.4801324971493,40.1311431803832,"6,7"
1162,"Restaurants, cafe, fast-food",44.480912594142,40.1490446581575,"6,7"
1333,"Restaurants, cafe, fast-food",44.4911624613653,40.1469487791814,"6,7"
1460,"Restaurants, cafe, fast-food",44.4778042435959,40.1554116877828,"6,7"
1676,"Restaurants, cafe, fast-food",44.5098212783003,40.1546405160005,"7"
1695,"Restaurants, cafe, fast-food",44.4996713037365,40.1550441601579,"7"
1788,"Restaurants, cafe, fast-food",44.5120198151266,40.1596071153048,"7"
1808,"Restaurants, cafe, fast-food",44.5125153258373,40.1621784956111,"7"
1811,"Restaurants, cafe, fast-food",44.5125515279433,40.1623039212823,"7"
2123,"Restaurants, cafe, fast-food",44.528269260638,40.1516923784701,"7,8"
2194,"Restaurants, cafe, fast-food",44.5427821728736,40.1659925132012,"7,8"
2278,"Restaurants, cafe, fast-food",44.4815060212187,40.1866801568737,"2,3,6"
2280,"Restaurants, cafe, fast-food",44.488304650952,40.178887657201,"3,6,7"
2327,"Restaurants, cafe, fast-food",44.4983011932652,40.1727527066059,"3,7"
2379,"Restaurants, cafe, fast-food",44.5055886861761,40.1766703890933,"3,7"
2395,"Restaurants, cafe, fast-food",44.5090376778779,40.1674689647269,"3,7"
2405,"Restaurants, cafe, fast-food",44.5084164030274,40.1696478184581,"3,7"
2437,"Restaurants, cafe, fast-food",44.5132349662114,40.1705375032464,"3,7"
2480,"Restaurants, cafe, fast-food",44.5093957463502,40.174891717755,"3,7"
2493,"Restaurants, cafe, fast-food",44.5109875610336,40.1762210926306,"3,7"
2496,"Restaurants, cafe, fast-food",44.5117707122983,40.1718911938366,"3,7"
2508,"Restaurants, cafe, fast-food",44.5114375271594,40.1729676197673,"3,7"
2557,"Restaurants, cafe, fast-food",44.5119558550784,40.1759956196367,"3,7"
2583,"Restaurants, cafe, fast-food",44.514181970184,40.1757905998591,"3,7"
2590,"Restaurants, cafe, fast-food",44.5145045552025,40.1762114148097,"3,7"
2601,"Restaurants, cafe, fast-food",44.5165349274076,40.1765047688522,"3,7"
2606,"Restaurants, cafe, fast-food",44.4966167622759,40.1800914925881,"3,7"
