"","TYPE","point","lon","lat","cell","districtName"
"159","supermarket/shop(food)",10,44.4498192970443,40.1812979146276,6,"Malatia-Sebastia"
"160","healthcare",10,44.4434654232082,40.1825216101408,6,"Malatia-Sebastia"
"161","supermarket/shop(food)",10,44.445325564667,40.1826146046069,6,"Malatia-Sebastia"
"162","bus_stop",4,44.4486056730955,40.1838454824489,6,"Malatia-Sebastia"
"163","bus_stop",4,44.4487665613628,40.183803069522,6,"Malatia-Sebastia"
"164","bus_stop",4,44.4468361716488,40.1857696151265,6,"Malatia-Sebastia"
"165","bus_stop",4,44.447078626944,40.1858829188089,6,"Malatia-Sebastia"
"166","School/kindergarten",7,44.4542878765936,40.1667849051407,6,"Malatia-Sebastia"
"167","mall/shop(non-food)",14,44.4557621916379,40.1693066585561,6,"Malatia-Sebastia"
"168","School/kindergarten",7,44.4555969914572,40.1711357910029,6,"Malatia-Sebastia"
"169","School/kindergarten",7,44.4558991847187,40.1713349902765,6,"Malatia-Sebastia"
"170","supermarket/shop(food)",10,44.4564883897136,40.1714346583359,6,"Malatia-Sebastia"
"171","supermarket/shop(food)",10,44.4522790639553,40.1724828115024,6,"Malatia-Sebastia"
"172","beauty_salon",4,44.456171913239,40.1722173769954,6,"Malatia-Sebastia"
"173","restaurant/cafe",6,44.4508524494526,40.1743026607306,6,"Malatia-Sebastia"
"174","bus_stop",4,44.4525177463263,40.1745527120123,6,"Malatia-Sebastia"
"175","bus_stop",4,44.4524323165427,40.1748114108177,6,"Malatia-Sebastia"
"177","bank/atm",10,44.4557628204586,40.1748252071445,6,"Malatia-Sebastia"
"179","bank/atm",10,44.4567386603518,40.1720881943746,6,"Malatia-Sebastia"
"180","bank/atm",10,44.4573958678136,40.1721691223045,6,"Malatia-Sebastia"
"181","healthcare",10,44.4564481451889,40.1721998735197,6,"Malatia-Sebastia"
"182","bank/atm",10,44.4573664030723,40.1724191128067,6,"Malatia-Sebastia"
"183","supermarket/shop(food)",10,44.4575044741315,40.1727054819043,6,"Malatia-Sebastia"
"184","bank/atm",10,44.4573919152264,40.1728547063579,6,"Malatia-Sebastia"
"185","healthcare",10,44.4575484017489,40.1728216903042,6,"Malatia-Sebastia"
"186","mall/shop(non-food)",14,44.4571568261165,40.1730941923872,6,"Malatia-Sebastia"
"187","bank/atm",10,44.4569680900753,40.1735186619659,6,"Malatia-Sebastia"
"188","bus_stop",4,44.4571527836977,40.1738184111184,6,"Malatia-Sebastia"
"189","restaurant/cafe",6,44.4572585154067,40.1737468887709,6,"Malatia-Sebastia"
"190","bus_stop",4,44.4572197081864,40.1741132855673,6,"Malatia-Sebastia"
"191","bank/atm",10,44.4575554984396,40.1731252177439,6,"Malatia-Sebastia"
"192","supermarket/shop(food)",10,44.4576821608947,40.1731456038665,6,"Malatia-Sebastia"
"193","bank/atm",10,44.4575718477778,40.1732644198333,6,"Malatia-Sebastia"
"194","bank/atm",10,44.457898115889,40.1741638039662,6,"Malatia-Sebastia"
"195","School/kindergarten",7,44.4597387639061,40.1729027546402,6,"Malatia-Sebastia"
"196","bank/atm",10,44.4584433034349,40.1756352044762,6,"Malatia-Sebastia"
"197","School/kindergarten",7,44.464123800134,40.1668674869097,6,"Malatia-Sebastia"
"198","bank/atm",10,44.4651794104244,40.1669992880287,6,"Malatia-Sebastia"
"200","School/kindergarten",7,44.4663354523635,40.169229296706,6,"Malatia-Sebastia"
"202","School/kindergarten",7,44.4683914265543,40.1692802992488,6,"Malatia-Sebastia"
